0.1,1,0.5
0
0.1
0.2
0.3
0.4
0.5
0.6
0.7
0.8
0.9
1
1.1
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
2
2.1
2.2
2.3
2.4
2.5
2.6
2.7
2.8
2.9
3
3.1
3.2
3.3
3.4
3.5
3.6
3.7
3.8
3.9
4
4.1
4.2
4.3
4.4
4.5
4.6
18.6,-4.71545,1.42157,0.340513,-0.0104193,0.270239,0.433895,0.295867,-4.71545,1.42157,0.340513,-0.0104193
18.7,-4.6957,1.41964,0.13368,-0.00428016,0.270945,0.432659,0.296395,-4.6957,1.41964,0.13368,-0.00428016
18.8,-4.67104,1.417,0.13368,-0.00428016,0.27167,0.431447,0.296883,-4.67104,1.417,0.13368,-0.00428016
18.9,-4.64645,1.41584,0.253142,-0.0146113,0.271579,0.432487,0.295934,-4.64645,1.41584,0.253142,-0.0146113
19,-4.64348,1.41532,0.253142,-0.0146113,0.271436,0.433592,0.294972,-4.64348,1.41532,0.253142,-0.0146113
19.1,-4.59574,1.40969,0.245311,-0.00691577,0.271305,0.434649,0.294046,-4.59574,1.40969,0.245311,-0.00691577
19.2,-4.59546,1.40563,0.245311,-0.00691577,0.271181,0.43567,0.29315,-4.59546,1.40563,0.245311,-0.00691577
19.3,-4.57994,1.40276,0.236373,-0.00781433,0.271235,0.436287,0.292478,-4.57994,1.40276,0.236373,-0.00781433
19.4,-4.54727,1.40183,0.236373,-0.00781433,0.2713,0.436876,0.291824,-4.54727,1.40183,0.236373,-0.00781433
19.5,-4.52617,1.40312,0.239102,-0.00584669,0.271297,0.437599,0.291104,-4.52617,1.40312,0.239102,-0.00584669
19.6,-4.50159,1.40717,0.239102,-0.00584669,0.271296,0.438304,0.2904,-4.50159,1.40717,0.239102,-0.00584669
19.7,-4.47757,1.4093,0.133144,-0.0073458,0.272078,0.437051,0.290871,-4.47757,1.4093,0.133144,-0.0073458
19.8,-4.45377,1.41505,0.133144,-0.0073458,0.272847,0.435854,0.291299,-4.45377,1.41505,0.133144,-0.0073458
19.9,-4.44937,1.41373,0.269271,-0.00429738,0.272323,0.437531,0.290145,-4.44937,1.41373,0.269271,-0.00429738
20,-4.40049,1.40791,0.269271,-0.00429738,0.271907,0.439074,0.289019,-4.40049,1.40791,0.269271,-0.00429738
20.1,-4.39678,1.40779,0.277265,-0.00949138,0.271462,0.440669,0.28787,-4.39678,1.40779,0.277265,-0.00949138
20.2,-4.37616,1.40655,0.277265,-0.00949138,0.271034,0.442212,0.286754,-4.37616,1.40655,0.277265,-0.00949138
20.3,-4.34442,1.40658,0.127756,-0.0136555,0.27185,0.440895,0.287255,-4.34442,1.40658,0.127756,-0.0136555
20.4,-4.34324,1.41081,0.127756,-0.0136555,0.272664,0.439593,0.287742,-4.34324,1.41081,0.127756,-0.0136555
20.5,-4.3142,1.41033,0.279076,-0.000372945,0.272021,0.44145,0.28653,-4.3142,1.41033,0.279076,-0.000372945
20.6,-4.28584,1.4108,0.279076,-0.000372945,0.27145,0.443226,0.285323,-4.28584,1.4108,0.279076,-0.000372945
20.7,-4.24114,1.41534,0.215738,-0.0117827,0.272112,0.442442,0.285447,-4.24114,1.41534,0.215738,-0.0117827
20.8,-4.23079,1.41903,0.215738,-0.0117827,0.27251,0.442189,0.285301,-4.23079,1.41903,0.215738,-0.0117827
20.9,-4.20696,1.41462,0.29844,-0.0107779,0.271851,0.44413,0.284019,-4.20696,1.41462,0.29844,-0.0107779
21,-4.17611,1.40848,0.29844,-0.0107779,0.271233,0.445976,0.282792,-4.17611,1.40848,0.29844,-0.0107779
21.1,-4.14435,1.40486,0.145112,0.0129699,0.27189,0.445085,0.283025,-4.14435,1.40486,0.145112,0.0129699
21.2,-4.11913,1.40143,0.145112,0.0129699,0.272523,0.444205,0.283272,-4.11913,1.40143,0.145112,0.0129699
21.3,-4.11263,1.39831,0.145749,-0.0163149,0.273444,0.442746,0.28381,-4.11263,1.39831,0.145749,-0.0163149
21.4,-4.09051,1.39775,0.145749,-0.0163149,0.274218,0.441614,0.284168,-4.09051,1.39775,0.145749,-0.0163149
21.5,-4.08949,1.39748,0.253589,-0.00877785,0.274259,0.442071,0.28367,-4.08949,1.39748,0.253589,-0.00877785
21.6,-4.03409,1.40407,0.253589,-0.00877785,0.274296,0.442525,0.283179,-4.03409,1.40407,0.253589,-0.00877785
21.7,-4.02917,1.4085,0.304235,-0.00346494,0.273726,0.444182,0.282092,-4.02917,1.4085,0.304235,-0.00346494
21.8,-4.00239,1.40465,0.304235,-0.00346494,0.273193,0.445752,0.281054,-4.00239,1.40465,0.304235,-0.00346494
21.9,-3.97234,1.39639,0.216215,-0.0194941,0.273914,0.444787,0.281299,-3.97234,1.39639,0.216215,-0.0194941
22,-3.94687,1.39222,0.216215,-0.0194941,0.274651,0.443788,0.281561,-3.94687,1.39222,0.216215,-0.0194941
22.1,-3.92197,1.39361,0.221205,-0.00762797,0.275162,0.443233,0.281605,-3.92197,1.39361,0.221205,-0.00762797
22.2,-3.90281,1.39699,0.221205,-0.00762797,0.275663,0.442696,0.281642,-3.90281,1.39699,0.221205,-0.00762797
22.3,-3.87852,1.38923,0.150115,0.00418016,0.276332,0.44178,0.281888,-3.87852,1.38923,0.150115,0.00418016
22.4,-3.84796,1.38645,0.150115,0.00418016,0.277059,0.440759,0.282181,-3.84796,1.38645,0.150115,0.00418016
22.5,-3.83946,1.38181,0.299417,-0.0116807,0.276733,0.441763,0.281504,-3.83946,1.38181,0.299417,-0.0116807
22.6,-3.80001,1.37993,0.299417,-0.0116807,0.276533,0.442612,0.280855,-3.80001,1.37993,0.299417,-0.0116807
22.7001,-3.77446,1.38068,0.155775,-0.00177763,0.277387,0.441314,0.281299,-3.77446,1.38068,0.155775,-0.00177763
22.8001,-3.74833,1.38209,0.155775,-0.00177763,0.278269,0.439972,0.28176,-3.74833,1.38209,0.155775,-0.00177763
22.9001,-3.74483,1.38143,0.156835,-0.00922384,0.279184,0.438567,0.282249,-3.74483,1.38143,0.156835,-0.00922384
